Route,Loco,Required DLC
VBRG,RABe 523,LZN
BPO,Class 101 BLG,"TVL, PSC "
BPO,Class 20 RF,TVL 
BPO,Class 31/1 BLU,TVL 
BPO,Class 40 BLU,NTP 
BPO,Class 45/1 BLU,NTP 
BPO,LMS Stainer 8F,SoS
MTB,BR 218,HML
MTB,BR 612,DCZ
MTB,BR 628.2,NID
MTB,DB G6 Shunter,RRO
SRM,766.2 DBpbzfa,"DCZ, DRA, FTF, HML, MSB, RT, RSN, KWG"
SRM,BR 101,HRR
SRM,BR 103,LFR
SRM,BR 155,"BRO, RSN"
SRM,BR 182,"HML, KWG, RT"
SRM,BR 185.5,"DRA, RRO"
SRM,BR 187,SKA
SRM,BR 193 Vectron,"FTF, DRA"
SRM,BR 363 DBB,"DCZ, DRA, MTB, RSN"
SRM,DB BR 628.2 VR,NID
SRM,DB G6 Shunter,RRO
SRM,OBB 1116,SBN
BKG,Class 20 RF,TVL
BKG,Class 33 GRN,WSR
BKG,Class 37,"SEH, WCL"
BKG,Class 66,"CLA, CLP, PDB, ECW, EDN, SEH, RHTT, GWE, EMK"
BKG,LMS Jubilee,PFR
FCE,Class 385 ScR,EDN 
FCE,Class 40 BLU,NTP
FCE,Flying Scotsman,PDB
FCE,LMS Jubilee Black,WCL
SBN,BR 103,LFR
SBN,BR 193 Vectron,"FTF, DRA"
SBN,Class 47,"NTP, BPO, PSC"
EMK,Class 390 AWC,EMK 
EMK,Class 710 TFL,BKG
FTF,BR 642,MTB
FTF,BR 101,HRR
FTF,BR 103,LFR
FTF,BR 112.1,HML 
FTF,BR 155,"BRO, RSN"
FTF,BR 182,"HML, MHL, KWG, RT"
FTF,BR 185,"DCZ, SRM, MKN"
FTF,BR 185.2,"MSB, RSN, KWG, VBRG"
FTF,BR 185.5,"DRA, RRO"
FTF,BR 187,SKA
FTF,BR 363,"DCZ, DRA, MTB, RSN"
FTF,BR 401 ICE 1,KWG
FTF,BR 403 ICE 3,KWG
FTF,BR 425,BRO
FTF,BR187,SKA
FTF,DB G6 Shunter,RRO
FTF,OBB 1116,SRM
FTF,OBB 116,SRM
SBD,BNSF ES44C4,CJP
SBD,BNSF SD40-2,CJP
SBD,BNSF SD70ACe,CJP
SBD,F59PHR,ALV 
BOW,AC4400CW,SPG
BOW,Acela Express Amtrak,BPE
BOW,ACS-64,"BPE, NYT"
BOW,C40-8W YN2,SPG
BOW,GP38-2,SPG
BOW,SD40 CSX-S,SPG
BOW,SD40-2,SPG
PSC,Class 142,BPO 
PSC,Class 20 RF,TVL
PSC,Class 31/1 BLU,TVL
PSC,Class 37/5 RF,TVL
PSC,Class 40 BLU,NTP
PSC,Class 45/1 BLU,NTP
PSC,Class 47/4 BLU,NTP
PSC,Flying Scotsman,PDB
PSC,LMS Jubiless,"PFR, SoS"
MKN,BR 101,HRR
MKN,BR 103,LFR
MKN,BR 155,"BRO, RSN"
MKN,BR 182,"HML, KWG, RT"
MKN,BR 185.5,"DRA, RRO"
MKN,BR 187,SKA
MKN,BR 193 Vectron,"FTF, DRA"
MKN,BR 218,HML
MKN,BR 363,"DCZ, DRA, MTB, RSN"
MKN,BR 411,FTF
MKN,BR 612,DCZ
MKN,BR 628.2,NID
MKN,DB G6 Shunter,RRO
MKN,TGV Duplex 200 CM,LGV
MITT,BR 103,LFR
MITT,BR 365,NID
NLL,Class 66,"CLA, CLP, PDB, ECW, EDN, SEH, GWE, EMK"
NLL,Class 710,BKG
CCN,Class 66,"CLA, CLP, PDB, ECW, SEH, GWE, EMK"
CCN,High Speed Train,GWE
ZGN,BR 193 Vectron,FTF
ZGN,DB G6 Shunter,RRO
